2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Malenin 1, 2a, od 3 do 6, 6A, od 8 do 21, 21A, 141 (GPO), 36/1, 89/1 (GPO), 96/1, 96/5 (GPO), DZ. NR 86, Malenin-10 (GPO), Malenin-29/5, W-493, Małachowo-Wierzbiczany 17.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Kozubów 20, 22, od 24 do 30, 60986, 298/2.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Grabina od 2 do 4, 4A, Grabina Mała , Grabina Wielka 31, Tarnówka 7, 10, 13, 29A, 30, 31, 36, od 38 do 40, Tarnówka Wiesiołowska 38, Zalaski 3, Zalesie 2, od 65 do 67, 69, 70, 240.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Miłkowice 58, 59, 59A.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Nowa Wieś 12, Piotrkówek od 1 do 3, od 5 do 13, 15.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Dziewiątka 1, 2, 2A, 2b, 4A, Kowale Pańskie 34A, od 35 do 37, 40 C, 40B, 40D, 40F, 43, 47, 49, 60635, 186/3, Kowale Pańskie-Kolonia 35A, 39, 40, 40E, 41, 46, 46 A, 46B, 47a, 47b, 47C, 47D, 48, 48 A, 48 B, od 81 do 89, 173/3, 173/5, 174/23, 174/24, 174/26, 174/9, 174/17, 186/1, 198/1 (GPO) (MDZ).
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Ostrów 13, 14, 38.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Bielawy 25, 26, Piaski od 3 do 5, od 7 do 11, od 13 do 15, 17, 21.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Grabowiec 79 C, Kiszewy , 243/1, 249/2 (GPO) (MDZ), 259, Ogorzelczyn 66, 66A, od 67 do 69, 69a, 70, 70a, 72, od 77 do 79, 79B, od 80 do 84, 86, Ogorzelczyn 75, 79C, 81A, 147 (MDZ), 69, 70, 71, Zadworna 123.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Kołatka 3, 4, Rąbino 1, 42, 168/1, 180/1 (MDZ).
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Nowe Ślepce 2, Stare Ślepce 3, 42/4, 42/6 (MDZ), 42/8, 65.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Solno 1.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Chotkowo od 29 do 31, 31/A, 32, 33, 36, 36/A, 37, 39, 41, od 43 do 45, 243 (MDZ), 48/5 (MDZ), 7/4, Struszewo 33.
